date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-02-07 18:27:00,110.0,11.0,2250.0,0,0,0,0,0,0,0,0,0,0,750.0,0,0,0,0,0,0,0,0,0,450.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-09 18:29:00,159.0,18.0,6097.5,0,0,2360.0,0,0,0,0,0,0,0,642.5,0,0,1680.0,0,0,0,0,0,0,510.0,197.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-06 18:34:00,98.0,14.0,6965.0,0,0,1620.0,517.5,0,0,0,0,600.0,0,0,0,0,1520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-09 21:27:00,163.0,19.0,5417.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.0,0,700.0,220.0,0,0,0,260.0,0,0,0,0,172.5,0,672.5,0,0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-10 18:40:00,23.5,8.0,1570.0,0,0,610.0,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-14 14:05:00,293.0,27.0,15062.5,0,0,1400.0,0,0,2400.0,0,0,0,1250.0,722.5,1675.0,0,0,0,0,0,2090.0,0,0,0,312.5,0,0,0,0,0,0,0,0,0,0,0,2880.0,0,0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-16 14:55:00,281.0,26.0,16100.0,0,0,0,0,0,2700.0,0,0,0,1200.0,0,1800.0,2315.0,0,0,1600.0,0,2700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-18 15:00:00,150.0,17.0,6455.0,0,0,2160.0,0,0,0,0,0,0,0,605.0,0,0,3065.0,625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:05:00,221.0,23.0,12510.0,0,0,2160.0,0,0,2580.0,0,0,0,0,0,0,0,2720.0,0,2350.0,0,2100.0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-25 15:09:00,238.5,20.0,13820.0,0,0,1380.0,0,0,3240.0,0,0,0,1600.0,0,1800.0,0,0,0,1500.0,0,2700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01 15:12:00,202.0,21.0,12660.0,0,0,0,0,0,2520.0,0,0,0,1080.0,0,1440.0,2700.0,0,0,1500.0,0,2340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-05 15:19:00,309.0,23.0,12785.0,0,0,2760.0,0,0,0,0,0,0,0,1050.0,0,0,0,1015.0,2250.0,0,2520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14 22:04:00,236.0,21.0,14265.0,0,0,1220.0,0,0,2400.0,0,0,0,1200.0,0,1200.0,0,0,0,1580.0,0,2040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17 22:09:00,256.0,23.0,6364.5,0,0,0,0,0,0,0,0,0,0,697.5,0,0,0,860.0,0,0,0,0,246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.0,1030.0,2025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-21 22:17:00,156.0,13.0,11135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550.0,0,3360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120.0,0,0,3105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14 20:14:12,113.5,13.0,8395.0,0,0,1342.5,648.75,0,0,0,0,0,0,0,0,0,2160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 22:36:00,226.0,26.0,5794.5,0,0,2360.0,0,0,0,0,0,0,0,1512.5,0,0,0,0,0,0,0,0,286.0,0,0,0,0,0,0,0,0,0,1350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-24 02:03:00,200.0,18.0,10820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250.0,0,0,0,0,0,0,0,155.0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1800.0,660.0,2250.0,3150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
